Gemma-3-4B Prompt Types,BLEU,ROUGE-L,METEOR,BERTScore
predicted_simple,0.1385625465025398,0.26651792651362777,0.22758337819706115,0.7497882257247793
predicted_zero_shot,0.15683964041001267,0.29867565880666463,0.3159406769023108,0.7668666741971312
predicted_few_shot,0.21718475939806442,0.37756004287685313,0.35883326918506225,0.7938805541087841
predicted_refined,0.24007601557471506,0.40750979393260245,0.39014747246270204,0.8068626538432878
predicted_fine_tuned,0.3482391376883911,0.5215091076841487,0.5170369450701786,0.8480594317460882
