Llama-3.1-8B Prompt Types,BLEU,ROUGE-L,METEOR,BERTScore
predicted_simple,0.1578303797536942,0.30010530226116255,0.2745508801129276,0.7649305915010387
predicted_zero_shot,0.15989815494403228,0.316538630198877,0.35080779517307975,0.7717871629986269
predicted_few_shot,0.21227910702148375,0.36852874153807175,0.38207645335664214,0.7907735854387283
predicted_refined,0.2645579218401021,0.4247554266742093,0.43110813316839064,0.810637628210002
predicted_fine_tuned,0.3798299615536123,0.5419045414818556,0.5283154197525669,0.8511641154001499
